ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży 
505;Buty adidas Superstar "Core Black";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0201_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0201_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
506;Buty adidas Superstar 80s "Core Black";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0146_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0146_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
507;Buty adidas Superstar 80S "White";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0145_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0145_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Biały, Sezon: Jesień/Zima;1;200;1
508;Buty adidas Stan Smith "Beige";389.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0486_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0486_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1
509;Buty Nike Downshifter 7 "Dark Grey";199.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/852459_011_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/852459_011_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
510;Buty Lacoste Carnaby Evo BL 1 SPM "Black";459.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002024_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002024_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  44.5  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
511;Buty Lacoste Carnaby Evo BL 1 SPM "White";459.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002001_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002001_2D_0003.jpg;Buty Męskie;Rozmiary:  42.5  43  44  44.5  45  46  47 42, Kolor: Biały, Sezon: Jesień/Zima;1;200;1
512;Trampki Converse Chuck Taylor All Star Boot PC HI "Black";389.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157496C_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157496C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
513;Trampki Converse Chuck Taylor All Star Syde Street Mid "Midnight Navy";329.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157539C_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157539C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
514;Trampki Converse Chuck Taylor All Star Street Boot HI "Black";419.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157506C_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157506C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
515;Trampki Converse Chuck Taylor All Star Syde Street MID "Black";329.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157537C_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157537C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
516;Trampki Converse Chuck Taylor All Star HI "Black";369.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157520C_2D_0001__2_~2.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157520C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
517;Trampki Converse Chuck Taylor All Star Boot PC HI "Raw Sugar";389.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157494C_2D_0001__2_~2.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157494C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
518;Trampki Converse Chuck Taylor All Star HI "Midnight Navy";369.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157521C_2D_0001__2_~2.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157521C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
519;Trampki Converse Chuck Taylor All Star Boot PC HI "Midnight Navy";389.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157495C_2D_0001__2_~2.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/157495C_2D_0003.jpg;Buty Męskie;Rozmiary:  41.5  42  42.5  43  44  44.5  45  46 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
520;Buty Nike SB Portmore II Solar MID "Black";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923198_011_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923198_011_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
521;Buty Nike SB Portmore II Solar MID "Dark Grey";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923198_010_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923198_010_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
522;Buty adidas Munchen "Blue";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9791_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9791_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1
523;Buty adidas Superstar "Green";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0200_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0200_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Zielony, Sezon: Jesień/Zima;1;200;1
524;Buty adidas Jake Boot 2.0 "Brown";649.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4109_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4109_2D_0003.jpg;Buty Męskie;Rozmiary:  39 1/3  40  40 2/3  41 1/3  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 38 2/3, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
525;Buty adidas Jake Boot 2.0 "Collegiate Navy";649.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4110_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4110_2D_0003.jpg;Buty Męskie;Rozmiary:  39 1/3  40  40 2/3  41 1/3  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 38 2/3, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
526;Buty Nike SB Portmore II Solar PRM "Black";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_010_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_010_2D_0003.jpg;Buty Męskie;Rozmiary:  43  44 42, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
527;Buty Nike Zoom Stefan Janoski "Hazelnut";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/333824_214_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/333824_214_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
528;Buty Lacoste Carnaby Evo BL 1 SPM "Navy";459.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002003_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  44.5  45  46  47 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
529;Buty Nike Air Vibenna "Black";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/866069_003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/866069_003_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
