ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
318;Reebok Bluza Dziecięca B Crew Gr Sweat;59.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/reebok_b_crew_gr_sweat_W57576__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/reebok_b_crew_gr_sweat_W57576__4_.jpg;Bluza Dziecięca;Rozmiary: 80, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież dziecięca
319;Bluza Puma Trend Jacket;59.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/puma_trend_jacket_55801901__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/puma_trend_jacket_55801901__5_.jpg;Bluza Dziecięca;Rozmiary: 176, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież dziecięca
320;Dres Nike NSW TRK SUIT BF "Black";239.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/830562_010_PHCBH001_3144.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/830562_010_PHCFH001_3144_kafel~1.jpg;Dres Dziecięcy;Rozmiary: XL, Kolor: Czarny, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
321;Dresy adidas I TRF FT SST "Black";229.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/dresy_adidas_I_TRF_FT_SST_BK5751_APP_photo_back_top_part_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/dresy_adidas_I_TRF_FT_SST_BK5751_APP_photo_front_white_kafel~1.jpg;Dres Dziecięcy;Rozmiary:  104  110  116 98, Kolor: Czarny, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
322;Dresy adidas I TRF FT SST "Medium Grey";199.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/dresy_adidas_I_TRF_FT_SST_BK4630_APP_photo_back_top_part_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/dresy_adidas_I_TRF_FT_SST_BK4630_APP_photo_front_white_kafel~1.jpg;Dres Dziecięcy;Rozmiary:  104  110  116 98, Kolor: Szary, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
323;Puma Dres Dziecięcy Fun Hooded Sweat Suit;119.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/puma_fun_hooded_sweat_suit_83236302__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/puma_fun_hooded_sweat_suit_83236302__2_.jpg;Dres Dziecięcy;Rozmiary:  164 152, Kolor: Szary , Różowy, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
324;Kappa Dres Dziecięcy Ephraim;69.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/kappa_ephraim_702759J304__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/kappa_ephraim_702759J304__2_.jpg;Dres Dziecięcy;Rozmiary: 176, Kolor: Czarny , Zielony, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
325;Kappa Dres Dziecięcy Till Kids;69.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/kappa_till_kids_303307J895__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/kappa_till_kids_303307J895__2_.jpg;Dres Dziecięcy;Rozmiary: 176, Kolor: Czarny , Niebieski, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
326;Nike Dres Dziecięcy YA ADJ Wvn GPX II Wup Yth Were;159.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/nike_ya_adj_wvn_gpx_wup_yth_were_724287_451__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/nike_ya_adj_wvn_gpx_wup_yth_were_724287_451__2_.jpg;Dres Dziecięcy;Rozmiary:  158  170 146, Kolor: Granatowy, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
327;Reebok Dres Dziecięcy Tricot Tracksuit;79.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/reebok_tricot_tracksuit_S49435__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/reebok_tricot_tracksuit_S49435__2_.jpg;Dres Dziecięcy;Rozmiary:  164  176 116, Kolor: Czarny , Czerwony, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
